analysis,variant,split,metric,mean_delta_vs_m3_full,sign,sign_consistent,t_df4,p_two_tailed,p_holm,denominator_key,denominator_mean_variant,denominator_mean_m3_full,amb160_mean_delta,amb160_sign_consistent,seed19521006,seed19521007,seed19521008,seed19521009,seed19521010
revive,no_state,dev,recall,-0.0032,-,no,-0.27,0.8007,0.9900,n_gold_matches,109.9,109.9,-0.0005,no,-0.0252,+0.0227,-0.0338,+0.0239,-0.0036
revive,no_rel,dev,recall,-0.0614,-,YES,-2.52,0.0654,0.3271,n_gold_matches,109.9,109.9,-0.0033,no,-0.0101,-0.0302,-0.1451,-0.0356,-0.0859
revive,no_src,dev,recall,-0.0172,-,no,-1.35,0.2475,0.9900,n_gold_matches,109.9,109.9,-0.0074,no,+0.0286,-0.0402,-0.0334,-0.0080,-0.0328
revive,no_motion,dev,f1,-0.0196,-,no,-1.01,0.3702,1.0000,—,n/a,n/a,-0.0062,no,+0.0267,-0.0878,+0.0040,-0.0306,-0.0103
revive,no_time,dev,f1,-0.0209,-,no,-0.87,0.4322,1.0000,—,n/a,n/a,+0.0053,no,+0.0345,-0.0021,-0.0331,+0.0028,-0.1069
revive,no_state,dev,f1,-0.0037,-,no,-0.31,0.7696,1.0000,—,n/a,n/a,+0.0074,no,-0.0237,+0.0221,-0.0370,+0.0189,+0.0015
revive,no_rel,dev,f1,-0.0614,-,YES,-2.58,0.0612,0.3061,—,n/a,n/a,+0.0014,no,-0.0153,-0.0267,-0.1461,-0.0395,-0.0795
revive,no_src,dev,f1,-0.0174,-,no,-1.19,0.3004,1.0000,—,n/a,n/a,-0.0018,no,+0.0337,-0.0398,-0.0491,-0.0069,-0.0248
revive,no_motion,dev,wrong_merge_rate,-0.0257,-,YES,-2.44,0.0715,0.3576,n_pred_identities,122.1,126.8,+0.0052,no,-0.0319,-0.0187,-0.0081,-0.0061,-0.0637
revive,no_time,dev,wrong_merge_rate,-0.0169,-,no,-0.73,0.5055,0.8254,n_pred_identities,118.6,126.8,+0.0002,no,-0.0319,+0.0248,+0.0057,+0.0176,-0.1006
revive,no_state,dev,wrong_merge_rate,-0.0089,-,no,-1.21,0.2938,0.8254,n_pred_identities,125.1,126.8,-0.0121,no,-0.0028,+0.0110,-0.0128,-0.0059,-0.0342
revive,no_rel,dev,wrong_merge_rate,-0.0240,-,no,-1.87,0.1351,0.5402,n_pred_identities,111.7,126.8,+0.0020,no,+0.0112,-0.0174,-0.0499,-0.0073,-0.0569
revive,no_src,dev,wrong_merge_rate,-0.0152,-,no,-1.26,0.2751,0.8254,n_pred_identities,121.0,126.8,-0.0100,no,-0.0118,-0.0223,+0.0177,-0.0040,-0.0553
revive,no_motion,dev,fragmentation_rate,-0.0306,-,YES,-1.93,0.1253,0.6264,n_gold_matches,109.9,109.9,+0.0048,no,-0.0102,-0.0357,-0.0058,-0.0110,-0.0904
revive,no_time,dev,fragmentation_rate,-0.0412,-,no,-1.16,0.3095,1.0000,n_gold_matches,109.9,109.9,-0.0076,no,-0.0383,+0.0108,+0.0288,-0.0341,-0.1732
revive,no_state,dev,fragmentation_rate,-0.0169,-,no,-0.84,0.4482,1.0000,n_gold_matches,109.9,109.9,-0.0218,no,-0.0009,-0.0133,+0.0468,-0.0462,-0.0712
revive,no_rel,dev,fragmentation_rate,-0.0366,-,no,-1.21,0.2918,1.0000,n_gold_matches,109.9,109.9,-0.0140,no,+0.0567,-0.0810,-0.0802,+0.0137,-0.0920
revive,no_src,dev,fragmentation_rate,-0.0288,-,no,-1.26,0.2766,1.0000,n_gold_matches,109.9,109.9,-0.0075,no,-0.0196,-0.0631,+0.0408,-0.0100,-0.0919
revive,no_motion,dev,impossible_transition_rate,-0.0117,-,no,-1.33,0.2549,1.0000,n_transitions,2037.1,2199.1,+0.0055,no,-0.0167,-0.0039,+0.0047,+0.0012,-0.0438
