analysis,model,seed,split,precision,recall,f1,wrong_merge_rate,fragmentation_rate,impossible_transition_rate,trajectory_consistency_rate,dangling_precision,dangling_recall,n_gold_dangling,n_gold_matches,n_pred_dangling,n_pred_identities,n_pred_matches,n_transitions
revive,no_motion,19521008,test,0.6474302224014116,0.36809006514180276,0.4689253450798349,0.2665221499493054,1.1013639203914087,0.27558621939014954,0.7244137806098505,0.9373168093327244,0.4940254768160945,52.15384615384615,108.84615384615384,27.384615384615383,131.3846153846154,61.76923076923077,2293.230769230769
revive,no_motion,19521009,dev,0.6879090951654252,0.35484239709725457,0.4677526995715679,0.2261908262892194,1.0764063881347765,0.27277262662900587,0.7272273733709941,0.6700883166074122,0.5297539617920533,51.083333333333336,109.91666666666667,40.75,133.5,56.583333333333336,2168.1666666666665
revive,no_motion,19521009,test,0.6800832642852779,0.337158575504232,0.45018326069105213,0.23447070908733547,1.0889692279398788,0.26024841362022333,0.7397515863797767,0.6472538615469515,0.5319547593291754,52.15384615384615,108.84615384615384,43.46153846153846,131.15384615384616,53.92307692307692,2132.6923076923076
revive,no_motion,19521010,dev,0.6495015842848814,0.27906347286124933,0.38912196340351773,0.2398194957850359,1.0700438026864865,0.27733750968241266,0.7226624903175872,0.43183467781515245,0.5756359207998416,51.083333333333336,109.91666666666667,70.33333333333333,116.5,47.333333333333336,1889.3333333333333
revive,no_motion,19521010,test,0.6479770591015631,0.2565029363560049,0.3649957827363037,0.24334862853411693,1.05510543407724,0.27060919569826763,0.7293908043017324,0.3936395865969973,0.6007636678615978,52.15384615384615,108.84615384615384,82.23076923076923,109.38461538461539,42.61538461538461,1766.7692307692307
revive,no_time,19521006,dev,0.6868361981319877,0.3768878989505164,0.4860094435509655,0.2561151453590865,1.0437999384782082,0.2877592611885528,0.7122407388114471,0.7794341162746825,0.5044870402222422,51.083333333333336,109.91666666666667,33.0,127.75,60.5,2251.4166666666665
revive,no_time,19521006,test,0.6943150329756625,0.37893558261741234,0.48976549207624925,0.2565360065938306,1.041828966398391,0.28730204759740663,0.7126979524025934,0.7592242670564235,0.4974859461064745,52.15384615384615,108.84615384615384,34.53846153846154,125.46153846153847,59.30769230769231,2227.6153846153848
revive,no_time,19521007,dev,0.5980217778220779,0.3008308346961774,0.3989359557981787,0.2914254846618243,1.1057049231541953,0.2961070784922198,0.7038929215077802,0.5445476743008558,0.5581266285737021,51.083333333333336,109.91666666666667,53.0,118.5,54.916666666666664,2060.6666666666665
revive,no_time,19521007,test,0.6355172251096501,0.29681777373508,0.40326299989760184,0.24240621691466607,1.0669407894877023,0.28486951751902,0.7151304824809799,0.49360368019482326,0.5457775408853743,52.15384615384615,108.84615384615384,59.15384615384615,115.84615384615384,50.69230769230769,1991.076923076923
revive,no_time,19521008,dev,0.6238634758500777,0.3429791510812623,0.44229540293206565,0.27175849164466076,1.1330225839966985,0.2775682911573661,0.7224317088426341,0.7921044631741675,0.5039461979191818,51.083333333333336,109.91666666666667,32.75,131.5,60.416666666666664,2250.1666666666665
